ds,y,y_lower,y_upper,source
2000-12-31,322,110,644,who_gho_api
2001-12-31,321,110,642,who_gho_api
2002-12-31,320,110,638,who_gho_api
2003-12-31,318,110,632,who_gho_api
2004-12-31,315,111,623,who_gho_api
2005-12-31,311,111,610,who_gho_api
2006-12-31,305,112,593,who_gho_api
2007-12-31,298,112,573,who_gho_api
2008-12-31,291,113,552,who_gho_api
2009-12-31,283,113,530,who_gho_api
2010-12-31,276,114,508,who_gho_api
2011-12-31,268,138,440,who_gho_api
2012-12-31,258,141,410,who_gho_api
2013-12-31,248,141,385,who_gho_api
2014-12-31,243,171,329,who_gho_api
2015-12-31,237,181,300,who_gho_api
2016-12-31,225,191,263,who_gho_api
2017-12-31,217,192,242,who_gho_api
2018-12-31,208,185,233,who_gho_api
2019-12-31,202,179,226,who_gho_api
2020-12-31,195,172,220,who_gho_api
2021-12-31,200,173,228,who_gho_api
2022-12-31,199,170,231,who_gho_api
2023-12-31,195,164,228,who_gho_api
